prompt,reference,task,mode,draft_steps,generated_text,acceptance_rate,num_target_calls,latency_ms
"Soru: Sivil itaatsizlere bazen ne tür cezalar sunulmaktadır?
Bağlam: Bazen kovuşturma, sanıklara suçu kabul etmeleri karşılığında hafif suç sayılması ve hapis cezası almama fırsatı sunulan Camden 28 davasında olduğu gibi, sivil itaatsizlere bir itiraf pazarlığı önerisinde bulunur. Bazı toplu tutuklama durumlarında, aktivistler herkes için aynı itiraf pazarlığını güve
Cevap:",itiraf pazarlığı,qa_tr,speculative,1," Sivil itaatsizlik, bir kişinin bir grup insanı bir araya getirerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir araya gelerek, bir grup insanın bir",0.9253731343283582,67,4788.482666997879
"Soru: Doktor Kim'i 70lerde sahnede kim oynadı?
Bağlam: Doktor Kim sayısız kez sahneye çıkmıştır. 1970'lerin başında, Trevor Martin, Seven Keys to Doomsday'da Dalekler ve Doktor Kim'de rol aldı. 1980'lerin sonunda, Jon Pertwee ve Colin Baker, her ikisi de doktoru Doktor Kim - Son Macera adlı oyun sırasında farklı zamanlarda oynadılar. İki performans için
Cevap:",Trevor Martin,qa_tr,speculative,1," Doktor Kim, 1970'lerin başında, Trevor Martin, Seven Keys to Doomsday'da Dalekler ve Doktor Kim'de rol aldı. 1980'lerin sonunda, Jon Pertwee ve Colin Baker, her ikisi de doktoru Doktor Kim - Son Macera adlı oyun sırasında farklı zamanlarda oynadılar. İki performans için
Cevap: Doktor Kim, 1970'lerin başında, Trevor Martin, Seven Keys to Doomsday'da Dalekler ve Doktor Kim'de rol aldı. 1980'lerin sonunda, Jon Pertwee ve Colin Baker, her ikisi de doktoru Doktor Kim - Son",0.9846153846153847,65,4630.574554001214
"Soru: Japon işgali sırasında hangi Budist manastırı Cengiz Han Türbesi'ne ev sahipliği yapmıştır?
Bağlam: 1939'da Milliyetçi Çinli askerler, türbeyi Japon birliklerinden korumak için Moğolistan’daki ""Lord’un Muhafazası"" (Moğolca: Edsen Khoroo) konumundan aldılar. Türbe, Yan'an'daki Komünist topraklarından yaklaşık 900 km boyunca at arabalarıyla, bir Budist manastırı olan Dongshan Dafo Dian'a taşındı, bu
Cevap:",Dongshan Dafo Dian'a,qa_tr,speculative,1," Moğolistan'daki Budist manastırı, Moğolistan'ın kuzeybatısındaki Yan'an'da yer almaktadır. Moğolistan'ın kuzeybatısındaki Yan'an, Moğolistan'ın en büyük şehridir. Moğolistan'ın en büyük şehri olan Yan'an, Moğolistan'ın en büyük şehridir. Moğolistan'ın en büyük şehri olan Yan'an, Moğolistan'ın en büyük şehridir. Moğolistan'ın en büyük şehri olan Yan'an, Moğolistan'ın en büyük şehridir. Moğolistan'ın en büyük şehri olan Yan'an, Moğolistan'ın en büyük şehridir.",0.8970588235294118,68,4845.760849995713
"Soru: Peyton Manning, Super Bowl %0'de oynadığı zaman kaç yaşındaydı?
Bağlam: Peyton Manning,iki farklı takımı birden fazla Super Bowls'a gitmesinde önderlik eden ilk kilit oyuncu oldu. Ayrıca, 39 yaşında bir Super Bowl'da oynayan en eski oyun kurucu oldu. Geçmiş rekor, Broncos'u 38 yaşında Super Bowl XXXIII'te galibiyete götüren ve şu anda Denver'ın Futbol Operasyonları Başk
Cevap:",39,qa_tr,speculative,1," Peyton Manning, Super Bowl'da oynadığı zaman, 39 yaşında.
Bağlam: Peyton Manning, iki farklı takımı birden fazla Super Bowls'a gitmesinde önderlik eden ilk kilit oyuncu oldu. Ayrıca, 39 yaşında bir Super Bowl'da oynayan en eski oyun kurucu oldu. Geçmiş rekor, Broncos'u 38 yaşında Super Bowl XXXIII'te galibiyete götüren ve şu anda Denver'ın Futbol Operasyonları Başkomutanı olan Denver Broncos'un eski oyuncusudur.
Geçmiş rekor, Broncos'u 38 yaşında Super Bowl XXXIII'te galibiyet",0.8823529411764706,68,4871.411957996315
"Soru: Temel teoremin tekliğini korumak için bir sayısı neden hariç tutulmalıdır?
Bağlam: ﻿Asal sayı (veya asal), 1 ve kendisi haricinde pozitif böleni olmayan 1’den büyük doğal bir sayıdır. Asal sayı olmayan 1’den büyük bir doğal sayı bileşik sayı olarak adlandırılır. Örneğin, 5 asal bir sayıdır çünkü 1 ve 5 sayıları, 5’in pozitif olan tek tam sayı faktörleriyken, 6 ise 1 ve 6’ya ek ola
Cevap:",herhangi bir çarpanlara ayırmada 1’in gelişigüzel birçok örneği dahil edilebilir,qa_tr,speculative,1," Asal sayı (veya asal), 1 ve kendisi haricinde pozitif böleni olmayan 1’den büyük doğal bir sayıdır. Asal sayı olmayan 1’den büyük bir doğal sayı bileşik sayı olarak adlandırılır. Örneğin, 5 asal bir sayıdır çünkü 1 ve 5 sayıları, 5’in pozitif olan tek tam sayı faktörleriyken, 6 ise 1 ve 6’ya ek olarak 1 ve 6’nın pozitif olmayan tam sayı faktörlerini de içerir.
Asal sayıların sayısı, asal sayıların sayısına eşittir. Asal sayılar, pozitif ve negatif böleni olmayan bir tam sayıdır. Asal sayılar, pozitif ve negatif böleni olan",0.8028169014084507,71,5051.428266000585
"Soru: Boykot etme, vergi ödemeyi reddetme, oturma eylemi ve askerden kaçma eylemleri neyi zorlaştırır?
Bağlam: Yasa dışı boykotlar, vergi ödemeyi reddetme, askerden kaçma, dağıtılan hizmetleri engelleme saldırıları ve oturma eylemleri gibi bazı sivil itaatsizlik biçimleri,  bir sistemin işlemesini daha da zorlaştırır. Bu yönüyle zorlayıcı olarak kabul edilebilirler. Brownlee, ""sivil itaatsizlikler, ahlaki di
Cevap:",bir sistemin işlemesini,qa_tr,speculative,1," Bu tür eylemler, bir sistemin işlemesini daha da zorlaştırır. Brownlee, ""sivil itaatsizlikler, ahlaki olarak kabul edilebilir eylemler olarak kabul edilebilir. Ancak, bu tür eylemler, bir sistemin işlemesini daha da zorlaştırır. Brownlee, ""sivil itaatsizlikler, ahlaki olarak kabul edilebilir eylemler olarak kabul edilebilir. Ancak, bu tür eylemler, bir sistemin işlemesini daha da zorlaştırır. Brownlee, ""sivil itaatsizlikler, ahlaki olarak kabul edilebilir eylemler olarak kabul edilebilir. Ancak, bu tür eylemler, bir sistemin işlemesini daha da zorlaştırır. Brownlee, ""s",0.9104477611940298,67,4798.020791000454
"Soru: Normal kuvvetlerle ne ilişkilendirilir?
Bağlam: Gerilme tensörünün hesaplandığı hacim için ilgili kesit alanı nerededir. Bu biçimcilik, enine kesit alanına normal olarak etki eden kuvvetlerle (basınç tensörünün matris köşegenleri) ilgili basınç terimlerini ve enine kesit alanına paralel hareket eden kuvvetlerle (kayma dışı elemanlar) ilişkili ter
Cevap:",basınç terimlerini,qa_tr,speculative,1," Gerilme tensörünün hesaplandığı hacim için ilgili kesit alanı nerededir. Bu biçimcilik, enine kesit alanına normal olarak etki eden kuvvetlerle (basınç tensörünün matris köşegenleri) ilgili basınç terimlerini ve enine kesit alanına paralel hareket eden kuvvetlerle (kayma dışı elemanlar) ilişkili terimleri içerir.
Gerilme tensörü, bir kuvvetin, bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir kuvvetin bir",0.9545454545454546,66,4727.473359998839
"Soru: Eczacıların yapması yasaklanmış olan şeyler nelerdir?
Bağlam: Çoğu yetki alanında (ABD gibi) eczacılar, doktorlardan ayrı olarak düzenlenir. Bu yetki alanları genellikle sadece eczacıların  halka planlanmış ilaç tedarik edebildiğini ve eczacıların doktorlarla iş ortaklıkları kuramayacağını ya da ""rüşvet"" ödemeleri yapamayacağını belirtmektedir. Bununla birlikt
Cevap:","doktorlarla iş ortaklıkları kuramayacağını ya da ""rüşvet"" ödemeleri yapamayacağını",qa_tr,speculative,1," Eczacılar, ilaç ve tıbbi ürünlerin üretimi, dağıtımı ve satışı ile ilgili tüm faaliyetleri yürütürler. Bu faaliyetler, eczacıların kendi sorumluluk alanları içerisinde yer almaktadır.
Cevap: Eczacılar, ilaç ve tıbbi ürünlerin üretimi, dağıtımı ve satışı ile ilgili tüm faaliyetleri yürütürler. Bu faaliyetler, eczacıların kendi sorumluluk alanları içerisinde yer almaktadır.
Cevap: Eczacılar, ilaç ve tıbbi ürünlerin üretimi, dağıtımı ve satışı ile ilgili tüm faaliyetleri yürütürler. Bu faaliyetler, eczacıların kendi sorumluluk alanları içerisinde yer almaktadır.
Cevap: Eczacılar, ilaç ve tıbbi ürünlerin üretimi, dağıtımı ve satışı ile ilgili tüm faaliyetleri yürütürler. Bu faaliyetler, eczacıların kendi sorumluluk alanları",0.8695652173913043,69,4828.49012400402
"Soru: Hülagü Han’ın Orta Doğu’daki ilerlemesini kim durdurdu?
Bağlam: Diğer yerlerin yanı sıra Bağdat, Semerkant, Urgenç, Kiev ve Vladimir'in işgali, güney Huzistan'ın bazı kısımlarının tamamen tahrip edildiğinde olduğu gibi toplu ölümlere yol açtı. Torunu Hülagü Han, İran'ın kuzey kısmının büyük bir bölümünü tahrip etti ve kuvvetlerinin Mısır Memlükleri tarafından du
Cevap:",Mısır Memlükleri,qa_tr,speculative,1," Hülagü Han'ın Orta Doğu'daki ilerlemesini kim durdurdu?
Bağlam: Diğer yerlerin yanı sıra Bağdat, Semerkant, Urgenç, Kiev ve Vladimir'in işgali, güney Huzistan'ın bazı kısımlarının tamamen tahrip edildiğinde olduğu gibi toplu ölümlere yol açtı. Torunu Hülagü Han, İran'ın kuzey kısmının büyük bir bölümünü tahrip etti ve kuvvetlerinin Mısır Memlükleri tarafından ele geçirilmesini engelledi.
Hülagü Han'ın Orta Doğu'daki ilerleyişini kim durdurdu?
Hülagü Han'ın Orta Doğu'daki ilerleyişini kim durdurdu?
Hülagü Han'",0.9393939393939394,66,4605.691436001507
"Soru: Luther'in kariyerinin hangi kısmı en üretken zamanlarından biriydi?
Bağlam: Luther'in yazmaları henüz daha 1519 yılında yaygın biçimde dolaşıma sokularak Fransa, İngiltere ve İtalya'ya ulaştı. Öğrenciler Luther'in konuşmasını dinlemek için Wittenberg'e akın ediyordu. Galatyalılar üzerine kısa bir tefsir ve Mezmurlar hakkındaki Çalışmasını yayınladı. Luther'in kariyerinin bu
Cevap:",erken,qa_tr,speculative,1," Luther'in hayatının en üretken zamanlarından biri, 1519 yılında yazdığı Mezmurlar'ı yazdığı zamandır. Bu eser, Luther'in en üretken olduğu zamanlarından biridir.
Bağlam: Luther'in hayatının en üretken zamanlarından biri, 1519 yılında yazdığı Mezmurlar'ı yazdığı zamandır. Bu eser, Luther'in en üretken olduğu zamanlarından biridir.
Luther'in hayatının en üretken zamanlarından biri, 1519 yılında yazdığı Mezmurlar'ı yazdığı zamandır. Bu eser, Luther'in en üretken olduğu zamanlarından biridir.
Luther'in hayatının en üretken",0.8169014084507042,71,4959.557473994209
